area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
西南,0.60,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,大白菜,贵州,none,2018-07-07,蔬菜,元/斤
西南,0.55,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,大白菜,贵州,none,2018-07-01,蔬菜,元/斤
西南,0.55,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,大白菜,贵州,none,2018-06-23,蔬菜,元/斤
西南,0.70,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,大白菜,贵州,none,2018-06-10,蔬菜,元/斤
西南,0.70,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,大白菜,贵州,none,2018-06-03,蔬菜,元/斤
西南,2.40,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-18,蔬菜,元/斤
西南,2.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-15,蔬菜,元/斤
西南,2.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-13,蔬菜,元/斤
西南,2.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-12,蔬菜,元/斤
西南,2.75,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-11,蔬菜,元/斤
西南,2.85,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-08,蔬菜,元/斤
西南,2.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-07,蔬菜,元/斤
西南,3.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-06,蔬菜,元/斤
西南,2.85,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-05,蔬菜,元/斤
西南,2.60,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-04,蔬菜,元/斤
西南,2.70,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-03,蔬菜,元/斤
西南,2.40,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-02,蔬菜,元/斤
西南,2.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-08-01,蔬菜,元/斤
西南,2.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-07-31,蔬菜,元/斤
西南,2.30,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-07-15,蔬菜,元/斤
西南,2.30,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-07-14,蔬菜,元/斤
西南,2.10,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-07-07,蔬菜,元/斤
西南,2.25,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-07-01,蔬菜,元/斤
西南,2.15,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-06-23,蔬菜,元/斤
西南,2.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-06-10,蔬菜,元/斤
西南,2.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-06-03,蔬菜,元/斤
西南,2.40,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-05-29,蔬菜,元/斤
西南,2.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-05-25,蔬菜,元/斤
西南,2.40,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-05-24,蔬菜,元/斤
西南,2.30,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,莲藕,贵州,none,2018-05-23,蔬菜,元/斤
西南,0.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-18,蔬菜,元/斤
西南,1.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-15,蔬菜,元/斤
西南,0.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-12,蔬菜,元/斤
西南,0.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-11,蔬菜,元/斤
西南,0.95,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-08,蔬菜,元/斤
西南,0.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-07,蔬菜,元/斤
西南,1.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-06,蔬菜,元/斤
西南,1.05,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-05,蔬菜,元/斤
西南,1.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-04,蔬菜,元/斤
西南,1.10,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-03,蔬菜,元/斤
西南,1.10,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-02,蔬菜,元/斤
西南,1.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-08-01,蔬菜,元/斤
西南,1.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-07-31,蔬菜,元/斤
西南,0.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-07-15,蔬菜,元/斤
西南,0.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-07-14,蔬菜,元/斤
西南,0.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-06-23,蔬菜,元/斤
西南,1.10,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-06-10,蔬菜,元/斤
西南,1.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-06-03,蔬菜,元/斤
西南,1.05,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-05-29,蔬菜,元/斤
西南,1.10,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-05-25,蔬菜,元/斤
西南,1.10,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-05-24,蔬菜,元/斤
西南,1.10,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-05-20,蔬菜,元/斤
西南,1.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-05-16,蔬菜,元/斤
西南,1.10,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-05-08,蔬菜,元/斤
西南,1.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,冬瓜,贵州,none,2018-05-06,蔬菜,元/斤
西南,3.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-18,蔬菜,元/斤
西南,3.60,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-15,蔬菜,元/斤
西南,3.60,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-13,蔬菜,元/斤
西南,3.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-12,蔬菜,元/斤
西南,4.25,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-11,蔬菜,元/斤
西南,3.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-09,蔬菜,元/斤
西南,3.70,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-08,蔬菜,元/斤
西南,3.60,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-07,蔬菜,元/斤
西南,3.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-06,蔬菜,元/斤
西南,3.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-05,蔬菜,元/斤
西南,5.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-04,蔬菜,元/斤
西南,2.75,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-03,蔬菜,元/斤
西南,2.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-02,蔬菜,元/斤
西南,3.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-08-01,蔬菜,元/斤
西南,2.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-07-31,蔬菜,元/斤
西南,2.30,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-07-15,蔬菜,元/斤
西南,2.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-07-14,蔬菜,元/斤
西南,2.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-07-07,蔬菜,元/斤
西南,2.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-07-01,蔬菜,元/斤
西南,2.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-06-23,蔬菜,元/斤
西南,1.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-06-10,蔬菜,元/斤
西南,2.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-06-03,蔬菜,元/斤
西南,2.70,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-05-31,蔬菜,元/斤
西南,2.40,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-05-29,蔬菜,元/斤
西南,1.80,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,香菜,贵州,none,2018-05-25,蔬菜,元/斤
西南,1.05,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-18,蔬菜,元/斤
西南,1.20,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-15,蔬菜,元/斤
西南,1.10,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-12,蔬菜,元/斤
西南,1.15,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-11,蔬菜,元/斤
西南,0.80,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-08,蔬菜,元/斤
西南,0.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-07,蔬菜,元/斤
西南,1.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-06,蔬菜,元/斤
西南,0.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-05,蔬菜,元/斤
西南,1.40,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-04,蔬菜,元/斤
西南,0.90,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-03,蔬菜,元/斤
西南,1.40,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-02,蔬菜,元/斤
西南,1.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-08-01,蔬菜,元/斤
西南,0.70,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-07-31,蔬菜,元/斤
西南,1.20,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-07-15,蔬菜,元/斤
西南,1.10,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-07-14,蔬菜,元/斤
西南,1.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-06-23,蔬菜,元/斤
西南,1.20,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-06-10,蔬菜,元/斤
西南,1.50,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-06-03,蔬菜,元/斤
西南,1.00,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-05-29,蔬菜,元/斤
西南,1.20,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-05-25,蔬菜,元/斤
西南,1.20,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-05-24,蔬菜,元/斤
西南,1.20,none,2018-08-24,贵阳地利农产品物流园有限公司,0.00,0.00,西葫芦,贵州,none,2018-05-20,蔬菜,元/斤
